id,first_name,last_name,title,specialty,address,phone,email
1,Laura,Keller,Dr. Dr.,Orthopedics,"Hauptstraße 63, 80796 Munich, Germany",+49 89 133353,contact162@clinic-example.com
2,Nina,Wagner,Prof. Dr.,Internal Medicine,"Theresienstraße 120, 80900 Munich, Germany",+49 89 944938,contact354@clinic-example.com
3,Mira,Lang,Dr.,Vascular Surgery,"Moosacher Straße 57, 80833 Munich, Germany",+49 89 523951,contact989@clinic-example.com
4,Paul,Wagner,Dr.,Sports Medicine,"Schwanthalerstraße 37, 80537 Munich, Germany",+49 89 955046,contact718@clinic-example.com
5,Tina,Seidel,Dr. Dr.,Surgery,"Ismaninger Straße 125, 80500 Munich, Germany",+49 89 626999,contact748@clinic-example.com
6,Laura,Schmid,Dr. Dr.,Sports Medicine,"Ismaninger Straße 55, 80521 Munich, Germany",+49 89 970930,contact457@clinic-example.com
7,David,Seidel,Prof. Dr.,Urology,"Leopoldstraße 32, 80866 Munich, Germany",+49 89 831203,contact373@clinic-example.com
8,Sarah,Krause,Prof. Dr.,Dermatology,"Hauptstraße 33, 80669 Munich, Germany",+49 89 403348,contact195@clinic-example.com
9,Julia,Brandt,Prof. Dr.,Urology,"Rosenheimer Straße 52, 80230 Munich, Germany",+49 89 611164,contact306@clinic-example.com
10,Lukas,Weber,Dr. Dr.,Psychotherapy,"Moosacher Straße 19, 80716 Munich, Germany",+49 89 820613,contact489@clinic-example.com
11,Marie,Krause,Prof. Dr.,Nephrology,"Ismaninger Straße 132, 80963 Munich, Germany",+49 89 832235,contact758@clinic-example.com
12,Stefan,Becker,Dr.,Nuclear Medicine,"Theresienstraße 54, 80378 Munich, Germany",+49 89 348158,contact339@clinic-example.com
13,Paul,Krause,Prof. Dr.,Urology,"Schwanthalerstraße 116, 80691 Munich, Germany",+49 89 100374,contact938@clinic-example.com
14,Tina,Weber,Prof. Dr.,Oncology,"Theresienstraße 125, 80816 Munich, Germany",+49 89 230198,contact712@clinic-example.com
